"hour_of_day","accepted_users","completed_users","dropoff_rate"
0,939,839,0.106
1,979,876,0.105
2,981,867,0.116
3,935,827,0.116
4,954,855,0.104
5,999,899,0.100
6,931,824,0.115
7,991,878,0.114
8,9053,6216,0.313
9,9077,6210,0.316
10,4045,3506,0.133
11,3750,3264,0.130
12,3723,3211,0.138
13,3782,3280,0.133
14,3723,3240,0.130
15,3761,3290,0.125
16,8972,6202,0.309
17,9059,6211,0.314
18,8205,6083,0.259
19,8146,6072,0.255
20,1313,1167,0.111
21,1004,884,0.120
22,967,871,0.099
23,944,848,0.102
